"SqN","Name","Age","Pos","Min","App","LUp","SIn","SOut","Bench","Goal","Assist","YC","2YC","RC"
"1","Iraizoz","33","G","2926","33","33","0","1","3","0","0","0","0","0"
"13","Iago","26","G","494","6","5","1","0","33","0","0","1","0","0"
"25","Kepa Arrizabalaga","20","G","0","0","0","0","0","1","0","0","0","0","0"
"27","Gorka Magunazelaia","22","G","0","0","0","0","0","1","0","0","0","0","0"
"4","A. Laporte","20","D","2947","35","33","2","3","3","2","0","5","1","0"
"6","San Jose","25","D","1797","25","19","6","0","16","5","2","6","0","0"
"12","Albizua","25","D","34","4","0","4","0","18","0","0","0","0","0"
"15","Iraola","32","D","2619","34","28","6","2","10","1","4","3","0","0"
"16","Etxeita","27","D","185","3","2","1","0","14","0","0","0","0","0"
"22","Saborit","22","D","194","5","2","3","0","8","0","0","1","0","0"
"23","Ekiza","26","D","37","1","1","0","1","12","0","0","0","0","0"
"24","Balenziaga","26","D","2669","31","31","0","5","1","0","0","4","0","0"
"5","Erik Moran","23","M","572","14","4","10","2","26","0","0","4","1","0"
"7","Benat","27","M","1015","23","12","11","7","21","1","3","4","0","0"
"8","Iturraspe","25","M","2705","33","31","2","5","3","0","3","8","0","0"
"14","Susaeta","26","M","2968","38","34","4","20","4","6","12","1","0","0"
"17","Mikel Rico","30","M","2590","34","31","3","14","3","5","1","7","0","0"
"18","Gurpegi","34","M","2386","27","27","0","1","0","2","0","8","0","0"
"21","Ander Herrera","25","M","2572","33","31","2","17","6","5","5","7","0","0"
"2","Toquero","30","A","583","20","5","15","2","22","0","1","4","0","0"
"9","Kike Sola","28","A","224","5","2","3","0","8","1","0","0","0","0"
"10","De Marcos","25","A","1957","35","19","16","5","19","5","2","3","0","0"
"11","Ibai","24","A","679","18","6","12","4","15","8","2","0","0","0"
"19","Muniain","21","A","2722","35","32","3","12","3","7","4","6","0","0"
"20","Aduriz","33","A","2408","31","26","5","10","5","16","6","7","1","1"
"28","Guillermo Fernandez","21","A","319","9","4","5","3","11","1","0","0","0","0"
