"","A","D","M"
"Augsburg",2.10941850941851,3.94987714987715,3.94070434070434
"Bayer Leverkusen",2.01863354037267,3.76332134684537,4.21804511278195
"Bayern Munchen",1.59040397437574,4.29990848476925,4.10968754085501
"Borussia Dortmund",1.60019614253024,3.53187316116378,4.86793069630598
"Borussia M'gladbach",2.19189737548269,3.39027423260685,4.41782839191047
"Eintracht Braunschweig",1.86639636399307,3.61279142006997,4.52081221593696
"Eintracht Frankfurt",1.00991265089803,5.23342166388589,3.75666568521608
"Freiburg",1.42918060749196,4.13501279275733,4.43580659975071
"Hamburger SV",1.25904107347406,3.67108492881689,5.06987399770905
"Hannover 96",1.66600959327157,3.59254878769959,4.74144161902885
"Hertha BSC",1.72712418300654,3.28888888888889,4.98398692810458
"Hoffenheim",2.46804745362784,3.67241266303992,3.85953988333224
"Mainz 05",1.92994505494506,4.49731815803244,3.5727367870225
"Nurnberg",1.62199357756078,3.7420538698473,4.63595255259191
"Schalke 04",0.944747388476447,3.96787333289534,5.08737927862821
"Stuttgart",2.32395751376869,4.33943089430894,3.33661159192237
"Werder Bremen",1.21931986200099,3.5206177098735,5.26006242812551
"Wolfsburg",1.00709965816461,3.60110439127005,5.39179595056534
